TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
93.51,67.15,0.8976,0.0276,0.0749,3.5,0.55,90,2.0
93.96,62.41,0.8044,0.0718,0.1238,3.08,0.86,90,0.9
93.55,73.62,0.8624,0.0358,0.1018,2.97,0.48,90,0.0
93.41,65.28,0.7766,0.0855,0.1379,2.92,0.9,90,1.2
93.79,69.27,0.8683,0.0388,0.0929,3.27,0.61,90,0.9
94.24,61.87,0.8205,0.0693,0.1102,3.43,1.0,90,0.3
94.23,85.02,0.6646,0.1564,0.179,2.6,1.22,90,0.2
94.05,66.81,0.7829999999999999,0.0802,0.1368,2.88,0.85,90,0.4
93.78,55.43,0.9479,0.0093,0.0428,3.84,0.3,90,1.7
94.44,64.59,0.8113,0.0668,0.1219,3.05,0.81,90,0.8
94.48,69.47,0.9009,0.0236,0.0755,3.33,0.44,90,0.5
94.22,86.27,0.5036,0.2739,0.2224,2.07,1.49,90,0.4
94.34,58.11,0.906,0.0232,0.0707,3.48,0.48,90,1.4
94.44,81.7,0.5258,0.2594,0.2148,2.19,1.51,90,0.8
94.22,61.68,0.7277,0.1131,0.1592,2.73,1.01,90,0.6
94.27,62.9,0.6726,0.1524,0.175,2.66,1.22,90,1.0
93.72,75.62,0.5214,0.2545,0.224,2.05,1.38,90,1.3
93.57,62.4,0.8831,0.0244,0.0925,2.79,0.31,90,1.5
93.62,82.96,0.4667,0.3083,0.225,1.83,1.46,90,0.7
92.9,73.53,0.5193,0.2483,0.2324,1.77,1.15,90,0.9
91.13,73.11,0.7138,0.1093,0.1768,2.23,0.74,90,0.4
93.11,58.95,0.7205,0.1215,0.158,2.61,1.0,76,2.9
93.12,85.57,0.4803,0.3023,0.2174,1.95,1.52,90,1.3
94.11,86.0,0.6136,0.1934,0.193,2.27,1.21,90,0.8
94.42,90.54,0.6142,0.3858,0.0,2.03,1.53,90,1.8
95.19,74.01,0.8615,0.1385,0.0,2.31,0.69,90,1.0
95.22,89.9,0.6393,0.3607,0.0,2.33,1.68,90,0.4
94.66,62.39,0.9111,0.0167,0.0722,3.18,0.31,90,1.6
95.32,72.38,0.7183,0.1226,0.1591,2.8,1.11,34,0.0
94.33,68.37,0.8733,0.034,0.0927,3.15,0.52,90,2.5
