TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
92.5,92.74,0.2698,0.4967,0.2335,1.25,1.77,90,0.1
92.89,79.87,0.713,0.091,0.196,1.95,0.53,90,0.7
93.12,80.19,0.4781,0.2552,0.2667,1.44,0.98,90,0.6
93.79,93.33,0.2918,0.4704,0.2378,1.3,1.71,90,0.5
92.98,82.12,0.7155,0.2845,0.0,2.02,1.1,90,0.9
92.88,62.33,0.8801,0.0252,0.0947,2.84,0.34,90,0.3
92.4,67.97,0.6734,0.14,0.1866,2.32,0.96,78,0.4
91.91,79.81,0.6648,0.1478,0.1874,2.34,1.02,90,1.4
92.14,69.73,0.664,0.1445,0.1915,2.26,0.96,90,0.2
92.6,69.14,0.8504,0.0339,0.1157,2.61,0.36,90,0.5
92.4,84.09,0.4648,0.3013,0.2339,1.82,1.43,89,0.1
92.43,65.05,0.7113,0.1093,0.1794,2.29,0.77,90,0.7
92.34,79.2,0.7015,0.1104,0.1881,2.17,0.73,89,0.6
92.97,81.43,0.6837,0.1359,0.1803,2.4,0.98,84,1.2
92.93,66.07,0.7317,0.1075,0.1608,2.58,0.9,64,0.7
92.71,95.44,0.3757,0.3972,0.2271,1.75,1.8,86,0.3
92.43,66.85,0.8744,0.0297,0.0959,2.91,0.4,68,0.1
91.43,69.44,0.6783,0.1418,0.18,2.44,1.03,90,0.7
92.96,66.52,0.8534,0.0385,0.1081,2.83,0.47,90,0.9
92.56,83.05,0.5034,0.2631,0.2335,1.85,1.28,69,0.5
93.8,78.45,0.76,0.0802,0.1598,2.4,0.64,90,0.5
93.82,72.98,0.8273,0.0423,0.1304,2.49,0.4,89,0.8
94.08,81.9,0.5101,0.2652,0.2248,1.97,1.37,89,0.1
94.34,82.12,0.6523,0.1482,0.1995,2.16,0.92,90,1.1
94.3,78.63,0.5486,0.2195,0.2319,1.86,1.1,84,0.5
94.14,66.05,0.6893,0.1367,0.174,2.52,1.05,90,1.1
94.18,71.86,0.831,0.0486,0.1204,2.74,0.53,90,0.9
94.31,61.71,0.7428,0.1007,0.1564,2.61,0.87,90,0.4
93.97,64.61,0.8612,0.0376,0.1013,2.96,0.5,90,0.5
