TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
80.1,49.61,0.6556,0.1525,0.1919,2.4,1.08,90,0.2
79.89,57.33,0.7465,0.09,0.1635,2.51,0.75,90,0.4
79.18,56.15,0.5728,0.1952,0.2319,1.94,1.04,90,1.3
79.99,72.48,0.5783,0.1814,0.2403,1.83,0.91,90,0.2
79.12,76.67,0.3502,0.3947,0.2551,1.47,1.57,90,0.4
80.14,83.66,0.2627,0.4937,0.2436,1.27,1.82,76,0.0
79.48,62.05,0.6383,0.1507,0.2111,2.11,0.92,90,1.2
79.86,62.84,0.6176,0.1703,0.2121,2.15,1.04,90,1.1
79.12,57.53,0.6047,0.17600000000000002,0.2192,2.07,1.02,90,0.5
79.26,46.82,0.7836,0.0717,0.1448,2.67,0.69,23,0.2
80.58,64.18,0.6152,0.1712,0.2135,2.13,1.03,90,0.7
80.54,60.54,0.5948,0.1844,0.2208,2.06,1.06,76,0.1
80.99,73.36,0.4663,0.2979,0.2358,1.9,1.49,24,0.8
80.69,68.5,0.5597,0.2041,0.2362,1.9,1.06,90,1.2
80.76,57.97,0.6029,0.1868,0.2103,2.21,1.16,90,0.8
81.42,77.15,0.4155,0.3287,0.2558,1.6,1.4,88,0.1
81.35,83.08,0.3536,0.4053,0.2412,1.62,1.75,90,0.2
80.6,60.34,0.7487,0.0815,0.1699,2.18,0.56,90,0.1
80.15,83.57,0.4456,0.314,0.2404,1.63,1.33,61,0.0
80.19,83.05,0.2368,0.5307,0.2325,1.1,1.77,72,0.4
80.1,62.23,0.5197,0.2448,0.2355,1.73,1.11,90,1.3
79.68,89.94,0.4021,0.3683,0.2295,1.68,1.6,90,0.4
78.62,60.46,0.5287,0.2168,0.2545,1.74,1.02,27,0.8
80.22,58.63,0.7528,0.0711,0.1761,2.23,0.53,61,1.1
81.94,76.49,0.6049,0.3951,0.0,1.41,1.04,90,0.3
81.83,80.42,0.5291,0.4709,0.0,1.69,1.57,90,1.1
82.47,72.44,0.6243,0.3757,0.0,1.92,1.4,84,0.9
83.2,82.37,0.5294,0.4706,0.0,1.42,1.3,90,1.1
81.12,74.73,0.3665,0.3986,0.2349,1.56,1.63,90,0.2
79.76,79.82,0.4882,0.2514,0.2603,1.5,1.0,90,0.4
79.48,90.18,0.3445,0.4018,0.2537,1.33,1.45,90,0.0
79.15,74.18,0.6031,0.2027,0.1941,2.31,1.28,27,0.1
78.98,81.93,0.2528,0.4769,0.2703,0.95,1.41,68,0.0
79.76,90.7,0.257,0.5301,0.2128,1.39,2.06,7,0.0
79.32,91.56,0.1145,0.7221,0.1635,0.9,2.49,90,1.2
79.77,92.72,0.2419,0.5553,0.2028,1.42,2.22,67,0.0
78.8,93.05,0.1113,0.7273,0.1614,0.88,2.51,18,0.0
84.34,70.03,0.6262,0.1549,0.2189,2.03,0.89,90,1.5
83.84,55.55,0.6928,0.122,0.1852,2.37,0.89,64,1.1
84.16,72.09,0.5176,0.2566,0.2258,2.06,1.41,90,0.1
