TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
83.52,67.9,0.7168,0.0978,0.1854,2.24,0.69,90,1.6
84.23,63.0,0.6286,0.154,0.2174,2.04,0.9,90,0.4
83.79,52.33,0.7172,0.1052,0.1776,2.39,0.8,90,1.0
83.66,80.14,0.4937,0.2627,0.2436,1.82,1.27,90,0.4
84.28,63.87,0.6721,0.1318,0.1961,2.25,0.89,90,1.1
84.54,47.22,0.8496,0.0448,0.1057,3.1,0.62,90,1.4
85.19,58.12,0.7112,0.1124,0.1765,2.45,0.87,73,0.1
85.33,55.55,0.8311,0.0422,0.1267,2.63,0.44,90,0.4
84.69,76.59,0.4801,0.2638,0.2561,1.67,1.18,90,0.5
83.78,83.43,0.4174,0.3427,0.2399,1.78,1.6,90,2.0
83.95,65.82,0.6046,0.1842,0.2112,2.19,1.13,90,1.0
83.23,71.2,0.5764,0.1974,0.2263,2.01,1.09,90,2.4
83.6,60.22,0.6138,0.1619,0.2243,1.98,0.9,90,0.3
82.52,63.23,0.6528,0.1449,0.2023,2.21,0.94,90,1.2
82.62,55.64,0.5164,0.2444,0.2392,1.88,1.23,90,0.4
88.8,82.88,0.3303,0.4064,0.2633,1.2,1.36,90,0.1
86.94,81.49,0.5671,0.2072,0.2257,1.84,1.02,90,1.1
87.07,66.57,0.747,0.0741,0.1789,2.04,0.47,90,0.8
87.23,63.04,0.5581,0.2012,0.2407,1.67,0.9,81,0.6
86.24,86.55,0.4877,0.2531,0.2592,1.49,0.99,90,0.1
85.0,81.46,0.3004,0.4595,0.2401,1.29,1.65,90,0.8
83.58,73.16,0.4132,0.3124,0.2744,1.29,1.09,90,0.1
80.47,73.46,0.5365,0.2067,0.2568,1.53,0.84,90,1.2
82.45,60.79,0.7072,0.1107,0.182,2.35,0.82,90,1.2
82.79,75.07,0.4326,0.3167,0.2507,1.68,1.41,90,1.2
